,Played,Won,Lost,Drawn,Runs Scored,Runs Conceded,Points
Manaton & Moretonhampstead,1,1,0,0,126,106,3
Ilsington,2,0,1,1,106,126,1
South Brent,1,0,0,1,0,0,1
Buckfastleigh,0,0,0,0,0,0,0
Dartanians,0,0,0,0,0,0,0
